clean_text,label_id
aw enn l ahla men hek hay li btelbesle crop top b noss din l saءعa w l talej w bteءعad tneء msaءعaaa ya alla ktir saءعaa nءebre lbese,0
yuءbrnee jamelo pepe p tfeh shu becheع bas li kanze por la decima maحleto,0
lea ktir pedophile,0
shu hal hmar hayda,0
fasharet عa raءbtak w raءbit mعalmak w raءbit li khalafouk,0
hayda ensen marid,0
my uncle is lowkey aawne w ktir aabele natfo,0
bassam bteحlam feyon lal syesye bel leil as a nightmare,0
helo ktir eza badkoun tejo kelkoun ouloula la nawal tjebelna van akbar p baعdoun عam bi rouho bel van li bi seع nos wahad,0
hayda ma biyaعref yeءra w yektob w bedo waziren wlooo kif la ken iza ken عando terminal,0
eh laeno l darak عana ktir awedim,0
kiff kell wahad sar ynazel soura la dayعto maع my village last night w henne bel 10 snin byotlaعo marra,0
mech hayda yale ken ykun fi mounesabet lal ouwet yrouh yعalleء aعlem sar bado yحallil,0
bi kouno msh aryin shi mnel enjil gher verse wehde w bi hotoua favorite verse shou fahamik,0
boy ana beحtirim raءey el marءa w daءiman bحotto ءidem raءye girl habibe enta ktir mniح boy skete wli ma حadan talab raءyik slap her,0
bro shu عm tebke beirut maعa esshel,0
awlkon byaarfo shou yaane حكومة تصريف أعمال bshekk bl mawdouع,0
waءafna el dares wel gym lal thawra tloعna nossحanin wel exam kal حoukam is still standing strong in 1 week ekel khara af,0
ka eno ma hada ghayra bemasel helo,0
chou mahdoumeh,0
hehe hayda sabaح sabaح l ءaraf,0
fhemna eno elsy el achkar rebheta lal siyara walla,0
anaaa w ma bcherikk bi wala wahad baءaa pchii ktiirr mezعijj w ma elo عazee chou ela meعna ybayyin senye l esem bl trend,0
eza btekhde soura w mkhabeye wejjek bi telephonek w hada allek pretty عam yedahak عalayke,0
ktir bteje mezeej enta,0
حelwe lعajءa eh bass ktir halءad,0
lech hek mfkrni bkrah l barouk ana ruحi mعlءa bl barouk bas bkrah nesa حawach,0
lol soءal ktir tefeh,0
chou halll hadeyaaa li haءoun 20 000 ll majaleh 5000 ll w cd 1000 ll w عelbet baraziء 16 000ll laء bas mkalaf,0
la walllaaaaaaaaaaaaa aktar shwayyyy,0
laء tawele belakkk marwan tizeeeee min ken semeع fikkk law ma aعmelak l helwe,0
enno baddak baعd 10 snin tenye latgibo lkahraba ya chabih lbani admin lعalam kello عam biءoul عendkon hader belkahraba fachart ya harami wya,0
lyom daءit rfiءit عmte w ma bعrfa w dalit thkine chi 1h w blchit عrft habe tعmle nursing bs lyke ya joya balelik hal chghle fkre bعden eno bdk trabe wledk w taعab w fkre bchi ektisad w tءamne masare w ykun helo bro ana bعrfk chi merci عal nasiحa bs ma hdn talab rءyik w merci,0
mazel حadertik be hal moustawa w hal ahammiyye leh mch semعin عannik babe,0
helo l hobb bess mch helo l habal,0
w ela عen tehke,0
kif bet oulo la hada btariءa mhazabe eno sar hake ktir la daraje tawashne,0
seعa 3 ma baعrefak عanjad عam tehkune fb chat,0
baعed fi sette ma عemlet make up tutorial,0
habbet kif byeءtlo,0
ana nawre chou fike taعmle,0
yaعmeli chi effet baعed,0
w baعden law chou ma ken ll arar tfaddalo khabbrouna min baعed rah yedrous men baعd kell hal tshweshour,0
sar maعe b antoura,0
hayda li ahlou meحtarin ydakhlou lau aw aub tab ma leeeeeeh,0
benet jirana عemra 16 lyom khetbeta lol khayfeh tعanis ma fhemet chou sayir عlayoun lbanet,0
عanjad hayda esmo match football 2 penalties misses eno walaww,0
hek fajءa twitter bi arrir ma yaعmel tweet lal soura li beddeh nazzela shu haydaaa,0
4 15 7 20 home sweet home bi ءoulo tjanabo lebnen lech fi aحla men lebnen,0
ya عame eh w ktir helwe p bass eno biءela bعatiyon taxi btءello halء bebعaton wtsp ymashoona,0
ahla shi bass yedعouna li dabt l nafs w tajannoub l fetna merci yaعne عmelto sheghelkoun ktir mnih,0
l taءes ktir mounesab ta nekol hawa mnekol nekat kamena aw laء p,0
mrabحeenek jmeele عal 2000 yalle baddek tedfaعeehon lal course,0
my sleeping schedule kezbe aktar men marwan habib,0
chu hal diعaye la beirut beer عam fattich عal refrain w عa refrain yءechkun ءach nchalla,0
byeعjebne hayda yalle حodir 50 shades of grey bass ma byoحdar mia khalifa lءeno حaram,0
shft ness bttعab kaza sene la tsir doc w hayda la ann sham riحit awal sene medecine sar doc,0
the two goals ma keno goals so ma tombosto ktir,0
ylعn shaklik sءltik kif gebran عndo nes sawatetlo just so you know,0
lek hole metl sahar ghadar ya alla bdon yemsho be trend l thawra bas ma bdon ykono dod l hizb,0
wosleeeeeeeeeeet tekno seyeseye mءasame sene sheعe maseحe yaaane kaءano ma sar thawra,0
sarit men hol lclass li ma behko maع nesss mich ktir famous,0
ma tezaalo bas hada ghayre mesh eder yesmaa sot ariana baءa besmaa sawta aktar men sot emme w emme ktir bet neء,0
chou wadeع l ghanam be jbeil,0
helo ktir,0
ma tezaalo bas hada ghayre mesh eder yesmaa sot ariana baءa besmaa sawta aktar men sot emme w emme ktir bet neء,0
btaعerfo chou ahla chi eno mom bs touعa bteje bet sakkir beb l ouda w btaعmoul hoover aw hayala chi,0
hayde awal erbeneee mish عeress wala chi chill,0
bukra nezle beirut w ahle عam b hasesune i m going to war,0
